Ticker;Cotacao;P/L;P/VP;PSR;DY;P/Ativo;P/Cap.Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Mrg.Ebit;Mrg.Liq.;Liq.Corr.;ROIC;ROE;Liq.2meses;Pat.Liq;Div.Brut/Pat.;Cresc.5anos
LWSA3;5.62;-1167.2;1.13;3.735;0.0;0.717;2.38;154.2;6.51;86.27;16.17;0.0242;-0.0032;2.75;0.0071;-0.001;113127000.0;2941450000.0;0.03;0.4796
ELMD3;10.54;-907.96;1.94;3.161;0.0;0.962;5.16;31.84;-9.3;32.78;12.64;0.0993;-0.0035;1.87;0.049;-0.0021;2551520.0;760772000.0;0.69;1.1177
BRPR3;8.85;-346.17;0.59;12.83;0.0119;0.371;17.88;19.85;-1.29;29.65;29.39;0.6463;-0.0371;1.31;0.0202;-0.0017;27463000.0;7072250000.0;0.41;-0.0743
RAIL3;15.97;-335.19;2.01;3.748;0.0012;0.662;6.74;17.59;-1.45;23.93;11.16;0.213;-0.011;1.87;0.0447;-0.006;186787000.0;14706100000.0;1.16;0.0585
SCAR3;28.97;-326.18;1.08;6.029;0.005;0.481;-6.09;12.4;-1.02;25.57;18.27;0.4862;-0.0228;0.49;0.0396;-0.0033;133420.0;1551380000.0;1.19;-0.1301
MAPT4;14.17;-75.71;-2.17;0.0;0.0;16.846;-317.62;-83.48;-1.92;-83.48;-83.48;0.0;0.0;0.0;-0.2131;0.0287;186.07;-5994000.0;0.0;0.0
AALR3;19.51;-71.47;1.99;2.049;0.0;0.91;-29.09;29.73;-2.6;38.49;15.28;0.0689;-0.0222;0.85;0.0328;-0.0279;8369920.0;1159400000.0;0.66;-0.0014
RCSL3;2.94;-68.21;-3.02;1.681;0.0;1.745;21.91;108.32;-1.55;107.69;55.94;0.0155;-0.0247;1.21;0.0168;0.0443;3238610.0;-36870000.0;-0.0;4.2963
ORVR3;28.06;-56.36;5.98;4.487;0.0;1.646;7.21;17.24;-5.19;22.03;14.66;0.2602;-0.0657;2.36;0.1014;-0.1061;13694100.0;335501000.0;1.69;0.1521
HETA4;5.85;-53.28;-0.01;1.064;0.0;0.289;-0.04;1.17;-0.01;128.91;128.91;0.9059;-0.02;0.01;0.2467;0.0001;7184.16;-555862000.0;-0.58;0.0653
DASA3;15.29;-48.4;1.13;0.767;0.0193;0.349;25.65;37.66;-0.84;65.69;12.27;0.0204;-0.0152;1.05;0.0111;-0.0234;5156950.0;7573560000.0;1.23;0.3481
KRSA3;3.6;-44.69;2.22;1.824;0.0;0.641;-157.48;15.5;-1.39;25.29;16.97;0.1177;-0.0328;0.98;0.0451;-0.0496;1028690.0;1252900000.0;1.57;0.0
